,Jeff Nippard's Essentials Program - 3x/Week Spreadsheet,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Copyright 2022 by Jeff Nippard. All rights reserved. ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week 1,Exercise,Warm-up Sets (see page 15 for details),Working Sets,Reps,Load,RPE,Rest,Substitution Option 1,Substitution Option 2,Notes,,,,,,,,,,,,,,,
,Full Body,Hack Squat (Heavy),2-3,1,4-6,,8-9,~3 min,Machine Squat,Leg Press,Focus on strength here. Each week add weight or reps. Keep form consistent.,,,,,,,,,,,,,,,
,,Hack Squat (Back off),0,1,8-10,,8-9,~3 min,Machine Squat,Leg Press,Drop the weight back and focus on controlling the negative. Smooth and consistent rep tempo.,,,,,,,,,,,,,,,
,,Incline DB Press,2,2,8-10,,8-9,~2 min,Incline Machine Press,Incline Smith Machine Press,Sink the dumbbells as low as you comfortably can,,,,,,,,,,,,,,,
,,Seated Hamstring Curl,1,1,10-12,,10,~1.5 min,Nordic Ham Curl,Lying Leg Curl,Do seated if available. Otherwise do Lying Leg Curl or Nordic Ham Curl.,,,,,,,,,,,,,,,
,,T-Bar Row,1,2,10-12,,9-10,~1.5 min,Helms DB Row,Chest-Supported Machine Row,"Squeeze your shoulder blades at the top, control the weight",,,,,,,,,,,,,,,
,,DB Bicep Curl,1,1,12-15 (dropset),,10,~1.5 min,EZ-Bar Curl,Cable EZ-Curl,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Palms start neutral at the bottom and supinate (palms up) as you curl. Do both arms at the same time.",,,,,,,,,,,,,,,
,,DB Lateral Raise,1,1,12-15 (dropset),,10,~1.5 min,Cable Lateral Raise,Machine Lateral Raise,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Raise the dumbbells ""out"" not ""up"", mind muscle connection with middle fibers",,,,,,,,,,,,,,,
,,Cable Crunch,0,1,12-15 (dropset),,10,~1.5 min,Machine Crunch,Plate-weighted Crunch,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Round your back as you crunch",,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,Upper,Flat DB Press (Heavy),2-3,1,4-6,,8-9,~3 min,Machine Chest Press,Weighted Dip,Focus on strength here. Each week add weight or reps. Keep form consistent.,,,,,,,,,,,,,,,
,,Flat DB Press (Back off),0,1,8-10,,9-10,~3 min,Machine Chest Press,Weighted Dip,Focus on mind-muscle connection with pecs. Drop the weight back and focus on stretch and squeeze!,,,,,,,,,,,,,,,
,,2-Grip Lat Pulldown,2,2,10-12,,9-10,~2 min,2-Grip Pull-up,Machine Pulldown,"Do first set wide overhand (1.5x shoulder width), second set underhand (1x shoulder width)",,,,,,,,,,,,,,,
,,Seated DB Shoulder Press,1,2,10-12,,9-10,~2 min,Machine Shoulder Press,Standing DB Arnold Press,"Bring the dumbbells all the way down, keep your torso upright",,,,,,,,,,,,,,,
,,Seated Cable Row,1,2,10-12 (dropset),,9-10,~2 min,Incline Chest-supported DB Row,Chest-Supported T-Bar Row,"Focus on squeezing your shoulder blades together, drive your elbows down and back. Last set only do a dropset: perform 10-12 reps, drop the weight by ~50%, perform an additional 10-12 reps. ",,,,,,,,,,,,,,,
,,A1: EZ Bar Skull Crusher,1,2,12-15,,10,0 min,Overhead Cable Triceps Extension,DB French Press,"Arc the bar behind your head, constant tension on triceps",,,,,,,,,,,,,,,
,,A2: EZ Bar Curl,1,2,12-15,,10,~1.5 min,DB Curl,Cable EZ Curl,"Arc the bar ""out"" not ""up"", focus on squeezing your biceps",,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,Lower,Romanian Deadlift,2,2,10-12,,8-9,~2 min,DB Romanian Deadlift,45° Hyperextension,"Maintain a neutral lower back, set your hips back, don't allow your spine to round",,,,,,,,,,,,,,,
,,Leg Press,2,3,10-12,,8-9,~2 min,Goblet Squat,DB Walking Lunge,"Medium width feet placement on the platform, don't allow your lower back to round",,,,,,,,,,,,,,,
,,Leg Extension,1,1,10-12 (dropset),,9-10,~1.5 min,DB Step-Up,Goblet Squat,"Dropset: perform 10-12 reps, drop the weight by ~50%, perform an additional 10-12 reps. Focus on squeezing your quads to make the weight move.",,,,,,,,,,,,,,,
,,A1: Seated Calf Raise,1,2,12-15,,10,0 min,Standing Calf Raise,Leg Press Toe Press,"Press all the way up to your toes, stretch your calves at the bottom, don't bounce",,,,,,,,,,,,,,,
,,A2: Cable Crunch,1,2,12-15,,10,~1.5 min,Machine Crunch,Plate-Weighted Crunch,Round your back as you crunch,,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week 2,Exercise,Warm-up Sets (see page 15 for details),Working Sets,Reps,Load,RPE,Rest,Substitution Option 1,Substitution Option 2,Notes,,,,,,,,,,,,,,,
,Full Body,Hack Squat (Heavy),2-3,1,4-6,,8-9,~3 min,Machine Squat,Leg Press,Focus on strength here. Each week add weight or reps. Keep form consistent.,,,,,,,,,,,,,,,
,,Hack Squat (Back off),0,1,8-10,,8-9,~3 min,Machine Squat,Leg Press,Drop the weight back and focus on controlling the negative. Smooth and consistent rep tempo.,,,,,,,,,,,,,,,
,,Incline DB Press,2,2,8-10,,8-9,~2 min,Incline Machine Press,Incline Smith Machine Press,Sink the dumbbells as low as you comfortably can,,,,,,,,,,,,,,,
,,Seated Hamstring Curl,1,1,10-12,,10,~1.5 min,Nordic Ham Curl,Lying Leg Curl,Do seated if available. Otherwise do Lying Leg Curl or Nordic Ham Curl.,,,,,,,,,,,,,,,
,,T-Bar Row,1,2,10-12,,9-10,~1.5 min,Helms DB Row,Chest-Supported Machine Row,"Squeeze your shoulder blades at the top, control the weight",,,,,,,,,,,,,,,
,,DB Bicep Curl,1,1,12-15 (dropset),,10,~1.5 min,EZ-Bar Curl,Cable EZ-Curl,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Palms start neutral at the bottom and supinate (palms up) as you curl. Do both arms at the same time.",,,,,,,,,,,,,,,
,,DB Lateral Raise,1,1,12-15 (dropset),,10,~1.5 min,Cable Lateral Raise,Machine Lateral Raise,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Raise the dumbbells ""out"" not ""up"", mind muscle connection with middle fibers",,,,,,,,,,,,,,,
,,Cable Crunch,0,1,12-15 (dropset),,10,~1.5 min,Machine Crunch,Plate-weighted Crunch,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Round your back as you crunch",,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,Upper,Flat DB Press (Heavy),2-3,1,4-6,,8-9,~3 min,Machine Chest Press,Weighted Dip,Focus on strength here. Each week add weight or reps. Keep form consistent.,,,,,,,,,,,,,,,
,,Flat DB Press (Back off),0,1,8-10,,9-10,~3 min,Machine Chest Press,Weighted Dip,Focus on mind-muscle connection with pecs. Drop the weight back and focus on stretch and squeeze!,,,,,,,,,,,,,,,
,,2-Grip Lat Pulldown,2,2,10-12,,9-10,~2 min,2-Grip Pull-up,Machine Pulldown,"Do first set wide overhand (1.5x shoulder width), second set underhand (1x shoulder width)",,,,,,,,,,,,,,,
,,Seated DB Shoulder Press,1,2,10-12,,9-10,~2 min,Machine Shoulder Press,Standing DB Arnold Press,"Bring the dumbbells all the way down, keep your torso upright",,,,,,,,,,,,,,,
,,Seated Cable Row,1,2,10-12 (dropset),,9-10,~2 min,Incline Chest-supported DB Row,Chest-Supported T-Bar Row,"Focus on squeezing your shoulder blades together, drive your elbows down and back. Last set only do a dropset: perform 10-12 reps, drop the weight by ~50%, perform an additional 10-12 reps. ",,,,,,,,,,,,,,,
,,A1: EZ Bar Skull Crusher,1,2,12-15,,10,0 min,Overhead Cable Triceps Extension,DB French Press,"Arc the bar behind your head, constant tension on triceps",,,,,,,,,,,,,,,
,,A2: EZ Bar Curl,1,2,12-15,,10,~1.5 min,DB Curl,Cable EZ Curl,"Arc the bar ""out"" not ""up"", focus on squeezing your biceps",,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,Lower,Romanian Deadlift,2,2,10-12,,8-9,~2 min,DB Romanian Deadlift,45° Hyperextension,"Maintain a neutral lower back, set your hips back, don't allow your spine to round",,,,,,,,,,,,,,,
,,Leg Press,2,3,10-12,,8-9,~2 min,Goblet Squat,DB Walking Lunge,"Medium width feet placement on the platform, don't allow your lower back to round",,,,,,,,,,,,,,,
,,Leg Extension,1,1,10-12 (dropset),,9-10,~1.5 min,DB Step-Up,Goblet Squat,"Dropset: perform 10-12 reps, drop the weight by ~50%, perform an additional 10-12 reps. Focus on squeezing your quads to make the weight move.",,,,,,,,,,,,,,,
,,A1: Seated Calf Raise,1,2,12-15,,10,0 min,Standing Calf Raise,Leg Press Toe Press,"Press all the way up to your toes, stretch your calves at the bottom, don't bounce",,,,,,,,,,,,,,,
,,A2: Cable Crunch,1,2,12-15,,10,~1.5 min,Machine Crunch,Plate-Weighted Crunch,Round your back as you crunch,,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week 3,Exercise,Warm-up Sets (see page 15 for details),Working Sets,Reps,Load,RPE,Rest,Substitution Option 1,Substitution Option 2,Notes,,,,,,,,,,,,,,,
,Full Body,Hack Squat (Heavy),2-3,1,4-6,,8-9,~3 min,Machine Squat,Leg Press,Focus on strength here. Each week add weight or reps. Keep form consistent.,,,,,,,,,,,,,,,
,,Hack Squat (Back off),0,1,8-10,,8-9,~3 min,Machine Squat,Leg Press,Drop the weight back and focus on controlling the negative. Smooth and consistent rep tempo.,,,,,,,,,,,,,,,
,,Incline DB Press,2,2,8-10,,8-9,~2 min,Incline Machine Press,Incline Smith Machine Press,Sink the dumbbells as low as you comfortably can,,,,,,,,,,,,,,,
,,Seated Hamstring Curl,1,1,10-12,,10,~1.5 min,Nordic Ham Curl,Lying Leg Curl,Do seated if available. Otherwise do Lying Leg Curl or Nordic Ham Curl.,,,,,,,,,,,,,,,
,,T-Bar Row,1,2,10-12,,9-10,~1.5 min,Helms DB Row,Chest-Supported Machine Row,"Squeeze your shoulder blades at the top, control the weight",,,,,,,,,,,,,,,
,,DB Bicep Curl,1,1,12-15 (dropset),,10,~1.5 min,EZ-Bar Curl,Cable EZ-Curl,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Palms start neutral at the bottom and supinate (palms up) as you curl. Do both arms at the same time.",,,,,,,,,,,,,,,
,,DB Lateral Raise,1,1,12-15 (dropset),,10,~1.5 min,Cable Lateral Raise,Machine Lateral Raise,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Raise the dumbbells ""out"" not ""up"", mind muscle connection with middle fibers",,,,,,,,,,,,,,,
,,Cable Crunch,0,1,12-15 (dropset),,10,~1.5 min,Machine Crunch,Plate-weighted Crunch,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Round your back as you crunch",,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,Upper,Flat DB Press (Heavy),2-3,1,4-6,,8-9,~3 min,Machine Chest Press,Weighted Dip,Focus on strength here. Each week add weight or reps. Keep form consistent.,,,,,,,,,,,,,,,
,,Flat DB Press (Back off),0,1,8-10,,9-10,~3 min,Machine Chest Press,Weighted Dip,Focus on mind-muscle connection with pecs. Drop the weight back and focus on stretch and squeeze!,,,,,,,,,,,,,,,
,,2-Grip Lat Pulldown,2,2,10-12,,9-10,~2 min,2-Grip Pull-up,Machine Pulldown,"Do first set wide overhand (1.5x shoulder width), second set underhand (1x shoulder width)",,,,,,,,,,,,,,,
,,Seated DB Shoulder Press,1,2,10-12,,9-10,~2 min,Machine Shoulder Press,Standing DB Arnold Press,"Bring the dumbbells all the way down, keep your torso upright",,,,,,,,,,,,,,,
,,Seated Cable Row,1,2,10-12 (dropset),,9-10,~2 min,Incline Chest-supported DB Row,Chest-Supported T-Bar Row,"Focus on squeezing your shoulder blades together, drive your elbows down and back. Last set only do a dropset: perform 10-12 reps, drop the weight by ~50%, perform an additional 10-12 reps. ",,,,,,,,,,,,,,,
,,A1: EZ Bar Skull Crusher,1,2,12-15,,10,0 min,Overhead Cable Triceps Extension,DB French Press,"Arc the bar behind your head, constant tension on triceps",,,,,,,,,,,,,,,
,,A2: EZ Bar Curl,1,2,12-15,,10,~1.5 min,DB Curl,Cable EZ Curl,"Arc the bar ""out"" not ""up"", focus on squeezing your biceps",,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,Lower,Romanian Deadlift,2,2,10-12,,8-9,~2 min,DB Romanian Deadlift,45° Hyperextension,"Maintain a neutral lower back, set your hips back, don't allow your spine to round",,,,,,,,,,,,,,,
,,Leg Press,2,3,10-12,,8-9,~2 min,Goblet Squat,DB Walking Lunge,"Medium width feet placement on the platform, don't allow your lower back to round",,,,,,,,,,,,,,,
,,Leg Extension,1,1,10-12 (dropset),,9-10,~1.5 min,DB Step-Up,Goblet Squat,"Dropset: perform 10-12 reps, drop the weight by ~50%, perform an additional 10-12 reps. Focus on squeezing your quads to make the weight move.",,,,,,,,,,,,,,,
,,A1: Seated Calf Raise,1,2,12-15,,10,0 min,Standing Calf Raise,Leg Press Toe Press,"Press all the way up to your toes, stretch your calves at the bottom, don't bounce",,,,,,,,,,,,,,,
,,A2: Cable Crunch,1,2,12-15,,10,~1.5 min,Machine Crunch,Plate-Weighted Crunch,Round your back as you crunch,,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week 4,Exercise,Warm-up Sets (see page 15 for details),Working Sets,Reps,Load,RPE,Rest,Substitution Option 1,Substitution Option 2,Notes,,,,,,,,,,,,,,,
,Full Body,Hack Squat (Heavy),2-3,1,4-6,,8-9,~3 min,Machine Squat,Leg Press,Focus on strength here. Each week add weight or reps. Keep form consistent.,,,,,,,,,,,,,,,
,,Hack Squat (Back off),0,1,8-10,,8-9,~3 min,Machine Squat,Leg Press,Drop the weight back and focus on controlling the negative. Smooth and consistent rep tempo.,,,,,,,,,,,,,,,
,,Incline DB Press,2,2,8-10,,8-9,~2 min,Incline Machine Press,Incline Smith Machine Press,Sink the dumbbells as low as you comfortably can,,,,,,,,,,,,,,,
,,Seated Hamstring Curl,1,1,10-12,,10,~1.5 min,Nordic Ham Curl,Lying Leg Curl,Do seated if available. Otherwise do Lying Leg Curl or Nordic Ham Curl.,,,,,,,,,,,,,,,
,,T-Bar Row,1,2,10-12,,9-10,~1.5 min,Helms DB Row,Chest-Supported Machine Row,"Squeeze your shoulder blades at the top, control the weight",,,,,,,,,,,,,,,
,,DB Bicep Curl,1,1,12-15 (dropset),,10,~1.5 min,EZ-Bar Curl,Cable EZ-Curl,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Palms start neutral at the bottom and supinate (palms up) as you curl. Do both arms at the same time.",,,,,,,,,,,,,,,
,,DB Lateral Raise,1,1,12-15 (dropset),,10,~1.5 min,Cable Lateral Raise,Machine Lateral Raise,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Raise the dumbbells ""out"" not ""up"", mind muscle connection with middle fibers",,,,,,,,,,,,,,,
,,Cable Crunch,0,1,12-15 (dropset),,10,~1.5 min,Machine Crunch,Plate-weighted Crunch,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Round your back as you crunch",,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,Upper,Flat DB Press (Heavy),2-3,1,4-6,,8-9,~3 min,Machine Chest Press,Weighted Dip,Focus on strength here. Each week add weight or reps. Keep form consistent.,,,,,,,,,,,,,,,
,,Flat DB Press (Back off),0,1,8-10,,9-10,~3 min,Machine Chest Press,Weighted Dip,Focus on mind-muscle connection with pecs. Drop the weight back and focus on stretch and squeeze!,,,,,,,,,,,,,,,
,,2-Grip Lat Pulldown,2,2,10-12,,9-10,~2 min,2-Grip Pull-up,Machine Pulldown,"Do first set wide overhand (1.5x shoulder width), second set underhand (1x shoulder width)",,,,,,,,,,,,,,,
,,Seated DB Shoulder Press,1,2,10-12,,9-10,~2 min,Machine Shoulder Press,Standing DB Arnold Press,"Bring the dumbbells all the way down, keep your torso upright",,,,,,,,,,,,,,,
,,Seated Cable Row,1,2,10-12 (dropset),,9-10,~2 min,Incline Chest-supported DB Row,Chest-Supported T-Bar Row,"Focus on squeezing your shoulder blades together, drive your elbows down and back. Last set only do a dropset: perform 10-12 reps, drop the weight by ~50%, perform an additional 10-12 reps. ",,,,,,,,,,,,,,,
,,A1: EZ Bar Skull Crusher,1,2,12-15,,10,0 min,Overhead Cable Triceps Extension,DB French Press,"Arc the bar behind your head, constant tension on triceps",,,,,,,,,,,,,,,
,,A2: EZ Bar Curl,1,2,12-15,,10,~1.5 min,DB Curl,Cable EZ Curl,"Arc the bar ""out"" not ""up"", focus on squeezing your biceps",,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,Lower,Romanian Deadlift,2,2,10-12,,8-9,~2 min,DB Romanian Deadlift,45° Hyperextension,"Maintain a neutral lower back, set your hips back, don't allow your spine to round",,,,,,,,,,,,,,,
,,Leg Press,2,3,10-12,,8-9,~2 min,Goblet Squat,DB Walking Lunge,"Medium width feet placement on the platform, don't allow your lower back to round",,,,,,,,,,,,,,,
