,Jeff Nippard's Essentials Program - 3x/Week Spreadsheet,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leg Extension,1,1,10-12 (dropset),,9-10,~1.5 min,DB Step-Up,Goblet Squat,"Dropset: perform 10-12 reps, drop the weight by ~50%, perform an additional 10-12 reps. Focus on squeezing your quads to make the weight move.",,,,,,,,,,,,,,,
,,A1: Seated Calf Raise,1,2,12-15,,10,0 min,Standing Calf Raise,Leg Press Toe Press,"Press all the way up to your toes, stretch your calves at the bottom, don't bounce",,,,,,,,,,,,,,,
,,A2: Cable Crunch,1,2,12-15,,10,~1.5 min,Machine Crunch,Plate-Weighted Crunch,Round your back as you crunch,,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week 5,Exercise,Warm-up Sets (see page 15 for details),Working Sets,Reps,Load,RPE,Rest,Substitution Option 1,Substitution Option 2,Notes,,,,,,,,,,,,,,,
,Full Body,Incline Machine Press,1-2,2,8-10,,9-10,~2 min,Incline Smith Machine Press,Incline DB Press,"45° incline, focus on squeezing your chest",,,,,,,,,,,,,,,
,,Single-Leg Leg Press (Heavy),2-3,1,6-8 per leg,,8-9,~3 min,Machine Squat,Hack Squat,"High and wide foot positioning, start with weaker leg",,,,,,,,,,,,,,,
,,Single-Leg Leg Press (Back off),0,1,10-12 per leg,,8-9,~3 min,Machine Squat,Hack Squat,"High and wide foot positioning, start with weaker leg",,,,,,,,,,,,,,,
,,Pendlay Row,2,2,8-10,,9-10,~2 min,T-Bar Row,Seated Cable Row,"Initiate the movement by squeezing your shoulder blades together, pull to your lower chest, avoid using momentum",,,,,,,,,,,,,,,
,,Glute-Ham Raise,1,1,10-12,,10,~1.5 min,Nordic Ham Curl,Lying Leg Curl,"Keep your hips straight, do Nordic ham curls if no GHR machine",,,,,,,,,,,,,,,
,,Spider Curl,1,1,12-15 (dropset),,10,~1.5 min,DB Preacher Curl,Bayesian Cable Curl,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Brace your chest against an incline bench, curl with your elbows slightly in front of you",,,,,,,,,,,,,,,
,,Cable Lateral Raise,1,1,12-15 (dropset),,10,~1.5 min,Machine Lateral Raise,DB Lateral Raise,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Lean away from the cable. Focus on squeezing your delts.",,,,,,,,,,,,,,,
,,Hanging Leg Raise,0,1,12-15,,10,~1.5 min,Roman Chair Crunch,Reverse Crunch,"Knees to chest, controlled reps, straighten legs more to increase difficulty",,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,Upper,2-Grip Pullup,1-2,2,8-10,,9-10,~2 min,Machine Pulldown,2-Grip Lat Pulldown,First set 1.5x shoulder width grip. Second set 1.0x shoulder width grip,,,,,,,,,,,,,,,
,,Weighted Dip (Heavy),2-3,1,6-8,,8-9,~3 min,Machine Chest Press,Flat DB Press,"Tuck your elbows at 45°, lean your torso forward 15°, shoulder width or slightly wider grip",,,,,,,,,,,,,,,
,,Weighted Dip (Back off),0,1,10-12,,9-10,~3 min,Machine Chest Press,Flat DB Press,"Tuck your elbows at 45°, lean your torso forward 15°, shoulder width or slightly wider grip",,,,,,,,,,,,,,,
,,Incline Chest-Supported DB Row,1,2,8-10,,9-10,~2 min,Chest-Supported T-Bar Row,Seated Cable Row,Keep elbows at ~30° angle from torso. Pull the weight towards your navel,,,,,,,,,,,,,,,
,,Standing DB Arnold Press,1,2,8-10,,9-10,~2 min,Machine Shoulder Press,Seated DB Shoulder Press,Start with your elbows in front of you and palms facing in. Rotate the dumbbells so that your palms face forward as you press.,,,,,,,,,,,,,,,
,,A1: DB Incline Curl,1,2,15-20,,10,0 min,Cable EZ Curl,EZ Bar Curl,"Brace upper back against bench, 45 degree incline, keep shoulders back as you curl",,,,,,,,,,,,,,,
,,A2: DB French Press,1,2,15-20,,10,~1.5 min,Overhead Cable Triceps Extension,EZ Bar Skull Crusher,Can perform seated or standing. Press the dumbbell straight up and down behind your head.,,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,Lower,DB Bulgarian Split Squat,2,3,10-12,,8-9,~2 min,Goblet Squat,Leg Press,Start with your weaker leg. Squat deep,,,,,,,,,,,,,,,
,,DB Romanian Deadlift,2,2,10-12,,8-9,~2 min,Romanian Deadlift,45° Hyperextension,"Emphasize the stretch in your hamstrings, prevent your lower back from rounding",,,,,,,,,,,,,,,
,,Goblet Squat,1,1,12-15,,9-10,~1.5 min,Leg Extension,Step-Up,"Hold the dumbbell underneath your chin, sit back and down, push your knees out laterally",,,,,,,,,,,,,,,
,,A1: Leg Press Toe Press,1,2,15-20,,10,0 min,Standing Calf Raise,Seated Calf Raise,"Press all the way up to your toes, stretch your calves at the bottom, don't bounce",,,,,,,,,,,,,,,
,,A2: Machine Crunch,1,2,10-12,,1-10,~1.5 min,Plate-Weighted Crunch,Cable Crunch,"Squeeze your abs to move the weight, don't use your arms to help",,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week 6,Exercise,Warm-up Sets (see page 15 for details),Working Sets,Reps,Load,RPE,Rest,Substitution Option 1,Substitution Option 2,Notes,,,,,,,,,,,,,,,
,Full Body,Incline Machine Press,1-2,2,8-10,,9-10,~2 min,Incline Smith Machine Press,Incline DB Press,"45° incline, focus on squeezing your chest",,,,,,,,,,,,,,,
,,Single-Leg Leg Press (Heavy),2-3,1,6-8 per leg,,8-9,~3 min,Machine Squat,Hack Squat,"High and wide foot positioning, start with weaker leg",,,,,,,,,,,,,,,
,,Single-Leg Leg Press (Back off),0,1,10-12 per leg,,8-9,~3 min,Machine Squat,Hack Squat,"High and wide foot positioning, start with weaker leg",,,,,,,,,,,,,,,
,,Pendlay Row,2,2,8-10,,9-10,~2 min,T-Bar Row,Seated Cable Row,"Initiate the movement by squeezing your shoulder blades together, pull to your lower chest, avoid using momentum",,,,,,,,,,,,,,,
,,Glute-Ham Raise,1,1,10-12,,10,~1.5 min,Nordic Ham Curl,Lying Leg Curl,"Keep your hips straight, do Nordic ham curls if no GHR machine",,,,,,,,,,,,,,,
,,Spider Curl,1,1,12-15 (dropset),,10,~1.5 min,DB Preacher Curl,Bayesian Cable Curl,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Brace your chest against an incline bench, curl with your elbows slightly in front of you",,,,,,,,,,,,,,,
,,Cable Lateral Raise,1,1,12-15 (dropset),,10,~1.5 min,Machine Lateral Raise,DB Lateral Raise,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Lean away from the cable. Focus on squeezing your delts.",,,,,,,,,,,,,,,
,,Hanging Leg Raise,0,1,12-15,,10,~1.5 min,Roman Chair Crunch,Reverse Crunch,"Knees to chest, controlled reps, straighten legs more to increase difficulty",,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,Upper,2-Grip Pullup,1-2,2,8-10,,9-10,~2 min,Machine Pulldown,2-Grip Lat Pulldown,First set 1.5x shoulder width grip. Second set 1.0x shoulder width grip,,,,,,,,,,,,,,,
,,Weighted Dip (Heavy),2-3,1,6-8,,8-9,~3 min,Machine Chest Press,Flat DB Press,"Tuck your elbows at 45°, lean your torso forward 15°, shoulder width or slightly wider grip",,,,,,,,,,,,,,,
,,Weighted Dip (Back off),0,1,10-12,,9-10,~3 min,Machine Chest Press,Flat DB Press,"Tuck your elbows at 45°, lean your torso forward 15°, shoulder width or slightly wider grip",,,,,,,,,,,,,,,
,,Incline Chest-Supported DB Row,1,2,8-10,,9-10,~2 min,Chest-Supported T-Bar Row,Seated Cable Row,Keep elbows at ~30° angle from torso. Pull the weight towards your navel,,,,,,,,,,,,,,,
,,Standing DB Arnold Press,1,2,8-10,,9-10,~2 min,Machine Shoulder Press,Seated DB Shoulder Press,Start with your elbows in front of you and palms facing in. Rotate the dumbbells so that your palms face forward as you press.,,,,,,,,,,,,,,,
,,A1: DB Incline Curl,1,2,15-20,,10,0 min,Cable EZ Curl,EZ Bar Curl,"Brace upper back against bench, 45 degree incline, keep shoulders back as you curl",,,,,,,,,,,,,,,
,,A2: DB French Press,1,2,15-20,,10,~1.5 min,Overhead Cable Triceps Extension,EZ Bar Skull Crusher,Can perform seated or standing. Press the dumbbell straight up and down behind your head.,,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,Lower,DB Bulgarian Split Squat,2,3,10-12,,8-9,~2 min,Goblet Squat,Leg Press,Start with your weaker leg. Squat deep,,,,,,,,,,,,,,,
,,DB Romanian Deadlift,2,2,10-12,,8-9,~2 min,Romanian Deadlift,45° Hyperextension,"Emphasize the stretch in your hamstrings, prevent your lower back from rounding",,,,,,,,,,,,,,,
,,Goblet Squat,1,1,12-15,,9-10,~1.5 min,Leg Extension,Step-Up,"Hold the dumbbell underneath your chin, sit back and down, push your knees out laterally",,,,,,,,,,,,,,,
,,A1: Leg Press Toe Press,1,2,15-20,,10,0 min,Standing Calf Raise,Seated Calf Raise,"Press all the way up to your toes, stretch your calves at the bottom, don't bounce",,,,,,,,,,,,,,,
,,A2: Machine Crunch,1,2,10-12,,1-10,~1.5 min,Plate-Weighted Crunch,Cable Crunch,"Squeeze your abs to move the weight, don't use your arms to help",,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week 7,Exercise,Warm-up Sets (see page 15 for details),Working Sets,Reps,Load,RPE,Rest,Substitution Option 1,Substitution Option 2,Notes,,,,,,,,,,,,,,,
,Full Body,Incline Machine Press,1-2,2,8-10,,9-10,~2 min,Incline Smith Machine Press,Incline DB Press,"45° incline, focus on squeezing your chest",,,,,,,,,,,,,,,
,,Single-Leg Leg Press (Heavy),2-3,1,6-8 per leg,,8-9,~3 min,Machine Squat,Hack Squat,"High and wide foot positioning, start with weaker leg",,,,,,,,,,,,,,,
,,Single-Leg Leg Press (Back off),0,1,10-12 per leg,,8-9,~3 min,Machine Squat,Hack Squat,"High and wide foot positioning, start with weaker leg",,,,,,,,,,,,,,,
,,Pendlay Row,2,2,8-10,,9-10,~2 min,T-Bar Row,Seated Cable Row,"Initiate the movement by squeezing your shoulder blades together, pull to your lower chest, avoid using momentum",,,,,,,,,,,,,,,
,,Glute-Ham Raise,1,1,10-12,,10,~1.5 min,Nordic Ham Curl,Lying Leg Curl,"Keep your hips straight, do Nordic ham curls if no GHR machine",,,,,,,,,,,,,,,
,,Spider Curl,1,1,12-15 (dropset),,10,~1.5 min,DB Preacher Curl,Bayesian Cable Curl,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Brace your chest against an incline bench, curl with your elbows slightly in front of you",,,,,,,,,,,,,,,
,,Cable Lateral Raise,1,1,12-15 (dropset),,10,~1.5 min,Machine Lateral Raise,DB Lateral Raise,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Lean away from the cable. Focus on squeezing your delts.",,,,,,,,,,,,,,,
,,Hanging Leg Raise,0,1,12-15,,10,~1.5 min,Roman Chair Crunch,Reverse Crunch,"Knees to chest, controlled reps, straighten legs more to increase difficulty",,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,Upper,2-Grip Pullup,1-2,2,8-10,,9-10,~2 min,Machine Pulldown,2-Grip Lat Pulldown,First set 1.5x shoulder width grip. Second set 1.0x shoulder width grip,,,,,,,,,,,,,,,
,,Weighted Dip (Heavy),2-3,1,6-8,,8-9,~3 min,Machine Chest Press,Flat DB Press,"Tuck your elbows at 45°, lean your torso forward 15°, shoulder width or slightly wider grip",,,,,,,,,,,,,,,
,,Weighted Dip (Back off),0,1,10-12,,9-10,~3 min,Machine Chest Press,Flat DB Press,"Tuck your elbows at 45°, lean your torso forward 15°, shoulder width or slightly wider grip",,,,,,,,,,,,,,,
,,Incline Chest-Supported DB Row,1,2,8-10,,9-10,~2 min,Chest-Supported T-Bar Row,Seated Cable Row,Keep elbows at ~30° angle from torso. Pull the weight towards your navel,,,,,,,,,,,,,,,
,,Standing DB Arnold Press,1,2,8-10,,9-10,~2 min,Machine Shoulder Press,Seated DB Shoulder Press,Start with your elbows in front of you and palms facing in. Rotate the dumbbells so that your palms face forward as you press.,,,,,,,,,,,,,,,
,,A1: DB Incline Curl,1,2,15-20,,10,0 min,Cable EZ Curl,EZ Bar Curl,"Brace upper back against bench, 45 degree incline, keep shoulders back as you curl",,,,,,,,,,,,,,,
,,A2: DB French Press,1,2,15-20,,10,~1.5 min,Overhead Cable Triceps Extension,EZ Bar Skull Crusher,Can perform seated or standing. Press the dumbbell straight up and down behind your head.,,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,Lower,DB Bulgarian Split Squat,2,3,10-12,,8-9,~2 min,Goblet Squat,Leg Press,Start with your weaker leg. Squat deep,,,,,,,,,,,,,,,
,,DB Romanian Deadlift,2,2,10-12,,8-9,~2 min,Romanian Deadlift,45° Hyperextension,"Emphasize the stretch in your hamstrings, prevent your lower back from rounding",,,,,,,,,,,,,,,
,,Goblet Squat,1,1,12-15,,9-10,~1.5 min,Leg Extension,Step-Up,"Hold the dumbbell underneath your chin, sit back and down, push your knees out laterally",,,,,,,,,,,,,,,
,,A1: Leg Press Toe Press,1,2,15-20,,10,0 min,Standing Calf Raise,Seated Calf Raise,"Press all the way up to your toes, stretch your calves at the bottom, don't bounce",,,,,,,,,,,,,,,
,,A2: Machine Crunch,1,2,10-12,,1-10,~1.5 min,Plate-Weighted Crunch,Cable Crunch,"Squeeze your abs to move the weight, don't use your arms to help",,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week 8,Exercise,Warm-up Sets (see page 15 for details),Working Sets,Reps,Load,RPE,Rest,Substitution Option 1,Substitution Option 2,Notes,,,,,,,,,,,,,,,
,Full Body,Incline Machine Press,1-2,2,8-10,,9-10,~2 min,Incline Smith Machine Press,Incline DB Press,"45° incline, focus on squeezing your chest",,,,,,,,,,,,,,,
,,Single-Leg Leg Press (Heavy),2-3,1,6-8 per leg,,8-9,~3 min,Machine Squat,Hack Squat,"High and wide foot positioning, start with weaker leg",,,,,,,,,,,,,,,
,,Single-Leg Leg Press (Back off),0,1,10-12 per leg,,8-9,~3 min,Machine Squat,Hack Squat,"High and wide foot positioning, start with weaker leg",,,,,,,,,,,,,,,
,,Pendlay Row,2,2,8-10,,9-10,~2 min,T-Bar Row,Seated Cable Row,"Initiate the movement by squeezing your shoulder blades together, pull to your lower chest, avoid using momentum",,,,,,,,,,,,,,,
,,Glute-Ham Raise,1,1,10-12,,10,~1.5 min,Nordic Ham Curl,Lying Leg Curl,"Keep your hips straight, do Nordic ham curls if no GHR machine",,,,,,,,,,,,,,,
,,Spider Curl,1,1,12-15 (dropset),,10,~1.5 min,DB Preacher Curl,Bayesian Cable Curl,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Brace your chest against an incline bench, curl with your elbows slightly in front of you",,,,,,,,,,,,,,,
,,Cable Lateral Raise,1,1,12-15 (dropset),,10,~1.5 min,Machine Lateral Raise,DB Lateral Raise,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Lean away from the cable. Focus on squeezing your delts.",,,,,,,,,,,,,,,
,,Hanging Leg Raise,0,1,12-15,,10,~1.5 min,Roman Chair Crunch,Reverse Crunch,"Knees to chest, controlled reps, straighten legs more to increase difficulty",,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,Upper,2-Grip Pullup,1-2,2,8-10,,9-10,~2 min,Machine Pulldown,2-Grip Lat Pulldown,First set 1.5x shoulder width grip. Second set 1.0x shoulder width grip,,,,,,,,,,,,,,,
,,Weighted Dip (Heavy),2-3,1,6-8,,8-9,~3 min,Machine Chest Press,Flat DB Press,"Tuck your elbows at 45°, lean your torso forward 15°, shoulder width or slightly wider grip",,,,,,,,,,,,,,,
,,Weighted Dip (Back off),0,1,10-12,,9-10,~3 min,Machine Chest Press,Flat DB Press,"Tuck your elbows at 45°, lean your torso forward 15°, shoulder width or slightly wider grip",,,,,,,,,,,,,,,
,,Incline Chest-Supported DB Row,1,2,8-10,,9-10,~2 min,Chest-Supported T-Bar Row,Seated Cable Row,Keep elbows at ~30° angle from torso. Pull the weight towards your navel,,,,,,,,,,,,,,,
,,Standing DB Arnold Press,1,2,8-10,,9-10,~2 min,Machine Shoulder Press,Seated DB Shoulder Press,Start with your elbows in front of you and palms facing in. Rotate the dumbbells so that your palms face forward as you press.,,,,,,,,,,,,,,,
,,A1: DB Incline Curl,1,2,15-20,,10,0 min,Cable EZ Curl,EZ Bar Curl,"Brace upper back against bench, 45 degree incline, keep shoulders back as you curl",,,,,,,,,,,,,,,
,,A2: DB French Press,1,2,15-20,,10,~1.5 min,Overhead Cable Triceps Extension,EZ Bar Skull Crusher,Can perform seated or standing. Press the dumbbell straight up and down behind your head.,,,,,,,,,,,,,,,
,Suggested 1-2 Rest Days,,,,,,,,,,,,,,,,,,,,,,,,,
,Lower,DB Bulgarian Split Squat,2,3,10-12,,8-9,~2 min,Goblet Squat,Leg Press,Start with your weaker leg. Squat deep,,,,,,,,,,,,,,,
,,DB Romanian Deadlift,2,2,10-12,,8-9,~2 min,Romanian Deadlift,45° Hyperextension,"Emphasize the stretch in your hamstrings, prevent your lower back from rounding",,,,,,,,,,,,,,,
,,Goblet Squat,1,1,12-15,,9-10,~1.5 min,Leg Extension,Step-Up,"Hold the dumbbell underneath your chin, sit back and down, push your knees out laterally",,,,,,,,,,,,,,,
,,A1: Leg Press Toe Press,1,2,15-20,,10,0 min,Standing Calf Raise,Seated Calf Raise,"Press all the way up to your toes, stretch your calves at the bottom, don't bounce",,,,,,,,,,,,,,,
